machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes,source_url,source_status,source_confidence,source_query,source_candidate_count,source_reason,canonical_machine_name,manufacturer_canonical,cabinet_type,game_type,bt_flag,at_initial_setting1,at_initial_setting2,at_initial_setting3,at_initial_setting4,at_initial_setting5,at_initial_setting6,bonus_initial_setting1,bonus_initial_setting2,bonus_initial_setting3,bonus_initial_setting4,bonus_initial_setting5,bonus_initial_setting6,bonus_combined_setting1,bonus_combined_setting2,bonus_combined_setting3,bonus_combined_setting4,bonus_combined_setting5,bonus_combined_setting6,combined_initial_setting1,combined_initial_setting2,combined_initial_setting3,combined_initial_setting4,combined_initial_setting5,combined_initial_setting6,rtp_complete_setting1,rtp_complete_setting2,rtp_complete_setting3,rtp_complete_setting4,rtp_complete_setting5,rtp_complete_setting6,source_title,source_checked_at
うみねこのなく頃に2,OIZUMI AMUZIO(オーイズミアミュージオ),2026-02-02,スマスロ / A+ART,98.4,99.6,101.2,103.4,104.7,105.5,1/362.1,1/350.5,1/337.8,1/327.7,1/319.7,1/313.6,1/397.2,1/390.1,1/381.0,1/374.5,1/366.1,1/360.1,市場想定機械割(完全攻略時は+5%程度上振れ:設定6=110.0%)、ボーナス合算1/189.4(設定1)〜1/167.6(設定6)、ボーナス合算は設定1=1/189.4/設定2=1/184.6/設定3=1/179.1/設定4=1/174.8/設定5=1/170.7/設定6=1/167.6,https://1geki.jp/slot/l_umineko2/,selected,0.85,うみねこのなく頃に2,1,title_contains,うみねこのなく頃に2,オーイズミアミュージオ,スマスロ,A+ART,0,,,,,,,,,,,,,1/189.4,1/184.6,1/179.1,1/174.8,1/170.7,1/167.6,,,,,,,,,,,,,,
うる星やつら,EXCITE（エキサイト）,2024-04-08,スマスロ / AT,97.6,98.9,,103.2,106.2,110.1,,,,,,,,,,,,,スマスロ/ATタイプ、設定1/2/4/5/6の5段階、天井は最大555G+α、AT純増約2.6枚/G,https://1geki.jp/slot/l_urusei_ev/,selected,0.9,うる星やつら,1,title_contains,うる星やつら,エキサイト,スマスロ,AT,0,1/535.4,1/509.0,,1/429.3,1/383.2,1/329.9,1/266.5,1/256.3,,1/232.9,1/216.4,1/196.7,,,,,,,,,,,,,,,,,,,うる星やつら（スマスロ）解析情報サイト,2026-08-30
えとたま,メーシー,2022-04-04,A+AT,97.6,98.5,100.3,104.1,106.3,109.2,1/282.4,1/277.6,1/273.0,1/268.5,1/264.2,1/256.0,,,,,,,ボーナス確率のみ / 天井:500G,https://1geki.jp/slot/s_etotama/,selected,0.9,えとたま,1,title_contains,えとたま,メーシー,メダル,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かぐや様は告らせたい,SANKYO（三共）,2024-09-02,スマスロ / AT,97.7,98.8,101.2,105.8,110.8,114.9,,,,,,,,,,,,,BIG確率:1/349.5〜1/250.7 天井:1100G、ボーナス初当りは設定1=1/362/設定2=1/360/設定3=1/357/設定4=1/349/設定5=1/343/設定6=1/335,https://1geki.jp/slot/l_kaguya/,selected,0.9,かぐや様は告らせたい,1,title_contains,かぐや様は告らせたい,三共,スマスロ,AT,0,,,,,,,1/362,1/360,1/357,1/349,1/343,1/335,,,,,,,,,,,,,,,,,,,,
からくりサーカス,SANKYO（三共）,2023-07-03,スマスロ / AT,97.5,98.7,,103.0,108.1,114.9,,,,,,,,,,,,,AT初当り:1/564〜1/447 天井:1200G,https://1geki.jp/slot/l_karakuri/,selected,0.9,からくりサーカス,2,title_contains,からくりサーカス,三共,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
けものフレンズ,サミー,2022-05-23,AT,97.7,98.6,100.5,104.2,106.2,107.8,,,,,,,,,,,,,AT初当り:1/293.5〜1/235.4 天井:999G,https://1geki.jp/slot/s_kemono_friends/,selected,0.9,けものフレンズ,1,title_contains,けものフレンズ,サミー,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この素晴らしい世界に祝福を！,サミー,2022-04-04,AT,97.9,98.9,100.6,104.4,106.7,109.8,,,,,,,,,,,,,AT初当り:1/261.5〜1/216.9 天井:598G+α,https://1geki.jp/slot/s_konosuba/,selected,1.0,この素晴らしい世界に祝福を！,1,manual_verified_distinct_machine,この素晴らしい世界に祝福を！,サミー,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とある科学の超電磁砲,藤商事,2022-11-07,AT,97.5,98.8,100.6,105.4,108.2,111.4,,,,,,,,,,,,,AT確率:1/552〜1/390 天井:1290G,https://1geki.jp/slot/s_railgun/,selected,0.85,とある科学の超電磁砲,2,title_contains,とある科学の超電磁砲,藤商事,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とある科学の超電磁砲2,FUJI（藤商事）,2025-11-04,スマスロ / AT,97.7,98.9,100.3,105.4,110.0,112.9,,,,,,,,,,,,,設定6機械割約112.9%、設定6実戦AT初当り約1/180、AT間天井999G+α(設定変更後699G+α)、CZ・AT共に高設定ほど確率優遇,https://1geki.jp/slot/l_railgun2/,selected,0.85,とある科学の超電磁砲2,1,title_contains,とある科学の超電磁砲2,藤商事,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とある魔術の禁書目録,JFJ（ジェイエフジェイ）,2023-11-06,スマスロ / AT,97.5,98.9,100.7,105.5,109.5,114.9,,,,,,,,,,,,,AT確率:1/370.8〜1/266.3 天井:999G,https://1geki.jp/slot/l_toaru_index/,selected,0.9,とある魔術の禁書目録,1,title_contains,とある魔術の禁書目録,ジェイエフジェイ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なめ猫～液晶ないけどなめんじゃねぇ～,Neos（ネオス）,2025-08-04,AT,98.0,100.3,,102.6,104.6,108.1,,,,,,,,,,,,,機械割設定4=102.6%・設定6=108.1%、初当り確率は全設定共通1/155(設定差なし、BIG当選率に設定差の可能性)、BIG最低3連保障で約600枚獲得「CAT600」搭載、ボーナス間600G+α(天井100G/300G振り分けあり)、2025年8月導入の6.6号機メダル機(液晶なし),https://1geki.jp/slot/s_nameneko/,selected,0.9,なめ猫～液晶ないけどなめんじゃねぇ～,1,title_contains,なめ猫～液晶ないけどなめんじゃねぇ～,ネオス,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
にゃんこ大戦争 BIGBANG,OK!!（オッケー）,2023-06-05,スマスロ / AT,97.6,98.5,,102.6,107.5,112.5,,,,,,,,,,,,,AT初当り:1/587〜1/418 天井:1500G,https://1geki.jp/slot/l_nyanko/,selected,0.9,にゃんこ大戦争 BIGBANG,1,title_contains,にゃんこ大戦争 BIGBANG,オッケー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
にゃんこ大戦争 超神速,KYORAKU（京楽）,2025-01-20,スマスロ / AT,97.5,98.3,,104.3,109.4,114.9,,,,,,,,,,,,,AT初当り確率は設定1=1/395/設定2=1/383/設定4=1/336/設定5=1/313/設定6=1/303(設定3未掲載)、機械割は設定1=97.5%/設定2=98.3%/設定4=104.3%/設定5=109.4%/設定6=114.9%、AT純増約9枚/G、天井1122G+α、ベース32.5G、「神様炎の株」(継続10〜100G),https://1geki.jp/slot/l_nyanko2/,selected,0.85,にゃんこ大戦争 超神速,1,title_contains,にゃんこ大戦争 超神速,京楽,スマスロ,AT,0,1/395,1/383,,1/336,1/313,1/303,,,,,,,,,,,,,,,,,,,,,,,,,,
ひぐらしのなく頃に 業,ディ・ライト,2023-11-06,スマスロ / A+ART,97.2,98.2,99.5,101.4,103.5,105.4,1/297,1/295,1/292,1/289,1/287,1/284,,,,,,,完全攻略で103%〜 天井:非搭載 (RBなし),https://1geki.jp/slot/l_higurashi_gou/,selected,0.9,ひぐらしのなく頃に 業,1,title_contains,ひぐらしのなく頃に 業,ディ・ライト,スマスロ,A+ART,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ひぐらしのなく頃に祭2,オーイズミ,2020-12-21,A+ART,97.3,98.5,99.6,101.5,104.2,106.5,1/297.9,1/295.2,1/292.6,1/289.9,1/287.4,1/284.9,1/409.6,1/402.1,1/394.8,1/387.8,1/376.6,1/364.1,完全攻略で設定1でも103%超 天井:非搭載,https://1geki.jp/slot/s_higurashi2_kakera/,selected,0.9,ひぐらしのなく頃に祭2,2,title_contains,ひぐらしのなく頃に祭2,オーイズミ,メダル,A+ART,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ようこそ実力至上主義の教室へ,DAXEL（ダクセル）,2025-05-07,スマスロ / AT,97.7,98.7,101.3,104.8,109.3,114.0,,,,,,,,,,,,,機械割設定4=104.8%・設定6=114.0%、CZ「ガールズチャレンジ」(AT期待度約34%)・「実力至上主義ゾーン」(AT期待度約65%)合算確率に設定差、AT間天井980G+α(設定変更時630G+α)で約50%がボーナス以上当選,https://1geki.jp/slot/l_youjitsu/,selected,0.85,ようこそ実力至上主義の教室へ,1,title_contains,ようこそ実力至上主義の教室へ,ダクセル,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わたしの幸せな結婚,KPE（ケーピーイー）,2025-07-07,スマスロ / AT,97.9,98.7,100.4,105.1,108.0,112.0,,,,,,,,,,,,,設定6機械割112.0%、ボーナス初当り1/249.4〜1/290.8(設定差小)、AT初当り1/479.4〜1/594.3(設定差大・設定判別の主指標)、設定6は初当り軽くAT後天国ループで安定、ボーナス初当りは設定1=1/290.8/設定2=1/286.5/設定3=1/277.3/設定4=1/255.3/設定5=1/251.4/設定6=1/249.4,https://1geki.jp/slot/l_watakon/,selected,0.9,わたしの幸せな結婚,1,title_contains,わたしの幸せな結婚,ケーピーイー,スマスロ,AT,0,1/290.8,1/286.5,1/277.3,1/255.3,1/251.4,1/249.4,1/290.8,1/286.5,1/277.3,1/255.3,1/251.4,1/249.4,,,,,,,,,,,,,,,,,,,,
アイドルマスター ミリオンライブ！,ビスティ,2021-03-08,AT,97.5,98.5,100.2,103.5,105.2,108.1,,,,,,,,,,,,,AT初当り:1/285〜1/192 天井:999G,https://1geki.jp/slot/s_idolmaster_ml/,selected,0.9,アイドルマスター ミリオンライブ！,1,title_contains,アイドルマスター ミリオンライブ！,ビスティ,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイドルマスター ミリオンライブ！ ネクストプロローグ,YAMASA（山佐）,2025-04-21,スマスロ / AT,97.6,98.5,101.1,105.2,110.1,114.3,,,,,,,,,,,,,設定6機械割114.3%、設定5は110.1%、AT初当り確率に分母100以上の大きな設定差、CZ出現率・ボーナス終了画面(白枠→金枠→虹枠の順で高設定期待度上昇)が設定判別要素、ボーナス初当りは設定1=1/347.0/設定2=1/337.4/設定3=1/314.0/設定4=1/280.6/設定5=1/256.8/設定6=1/242.0,https://1geki.jp/slot/l_idlmst_mlnp/,selected,0.85,アイドルマスター ミリオンライブ！ ネクストプロローグ,1,title_contains,アイドルマスター ミリオンライブ！ ネクストプロローグ,山佐,スマスロ,AT,0,1/347.0,1/337.4,1/314.0,1/280.6,1/256.8,1/242.0,1/347.0,1/337.4,1/314.0,1/280.6,1/256.8,1/242.0,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,北電子,2020-12-14,ノーマル,97.0,98.0,99.5,101.1,103.3,105.5,1/273.1,1/269.7,1/269.7,1/259.0,1/259.0,1/255.0,1/439.8,1/399.6,1/331.0,1/315.1,1/255.0,1/255.0,天井:非搭載,https://1geki.jp/slot/s_ij_ex_6/,selected,1.0,アイムジャグラーEX-TP,1,manual_verified_distinct_machine,アイムジャグラーEX-TP,北電子,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アオハル♪操 A‐LIVE,大都技研,2024-06-03,AT,97.6,98.7,100.5,105.5,108.6,111.4,,,,,,,,,,,,,疑似ボーナスAT 初当り:1/333〜1/257,https://1geki.jp/slot/s_aoharu_misao/,selected,0.85,アオハル♪操 A‐LIVE,1,title_contains,アオハル♪操 A‐LIVE,大都技研,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アカメが斬る！2,SNT（新日テクノロジー）,2024-07-08,スマスロ / AT,97.6,98.7,100.4,105.4,110.2,114.9,,,,,,,,,,,,,AT初当り確率1/390.0(設定1)〜1/296.8(設定6)、機械割97.6%〜114.9%(設定4=105.4%)、ボーナス高確中は約1/3.8でボーナス当選・約67%でループ、CZ初当り確率1/296.3(設定1)〜1/231.9(設定6)、AT終了画面ナミちゃんパネル(虹=設定6濃厚、呪毒柄=設定5以上濃厚、金=設定4以上濃厚),https://1geki.jp/slot/l_akame2/,selected,0.85,アカメが斬る！2,2,title_contains,アカメが斬る！2,新日テクノロジー,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アクエリオン ALL STARS,SANKYO,2022-07-04,AT,97.5,98.5,100.5,105.0,107.0,108.8,,,,,,,,,,,,,AT確率:1/363〜1/271 天井:1000G,https://1geki.jp/slot/s_aguarion_allstars/,selected,0.85,アクエリオン ALL STARS,1,title_contains,アクエリオン ALL STARS,SANKYO,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アクダマドライブ,SanThree（サンスリー）,2026-04-06,スマスロ / AT,97.4,98.2,100.1,104.1,107.3,112.0,,,,,,,,,,,,,設定3以上でプラス収支、設定6機械割112.0%、AT初当り確率は高設定ほど優遇(設定5以上判別の目安は概ね1/500未満)、CZ「多脚戦車バトル」成功期待度約46%(ジャッジパート中アクダマ目高確率約1/5.9)、ボーナス初当りは設定1=1/321.2/設定2=1/319.3/設定3=1/315.8/設定4=1/307.0/設定5=1/296.9/設定6=1/291.1,https://1geki.jp/slot/l_akudama_drive/,selected,0.9,アクダマドライブ,1,title_contains,アクダマドライブ,サンスリー,スマスロ,AT,0,1/321.2,1/319.3,1/315.8,1/307.0,1/296.9,1/291.1,1/321.2,1/319.3,1/315.8,1/307.0,1/296.9,1/291.1,,,,,,,,,,,,,,,,,,,,
アズールレーン THE ANIMATION,KYORAKU（京楽）,2025-08-04,スマスロ / AT,97.9,98.6,100.7,105.3,110.6,114.9,,,,,,,,,,,,,AT初当り設定1=1/598.9〜設定6=1/467.5、初当りBONUS確率設定1=1/167.4〜設定6=1/156.0、設定6は初当り軽さ・小役確率の高さが特徴、ボーナス初当りは設定1=1/167.4/設定2=1/166.5/設定3=1/164.3/設定4=1/161.3/設定5=1/158.9/設定6=1/156.0,https://1geki.jp/slot/l_azurlane/,selected,0.85,アズールレーン THE ANIMATION,1,title_contains,アズールレーン THE ANIMATION,京楽,スマスロ,AT,0,1/598.9,1/166.5,1/164.3,1/161.3,1/158.9,1/467.5,1/167.4,1/166.5,1/164.3,1/161.3,1/158.9,1/156.0,,,,,,,,,,,,,,,,,,,,
アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,ミズホ,2023-04-17,AT,97.6,98.9,101.0,104.2,106.0,108.1,,,,,,,,,,,,,AT確率:1/510〜1/224 天井:1400G,https://1geki.jp/slot/s_hades_sougeki/,selected,0.85,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,1,title_contains,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,ミズホ,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アラジンAクラシック,サミー,2022-01-24,AT,97.5,98.7,100.5,104.4,106.1,108.3,,,,,,,,,,,,,AC確率:1/275〜1/176 天井:1200G,https://1geki.jp/slot/s_aladdin_ac/,selected,0.9,アラジンAクラシック,1,title_contains,アラジンAクラシック,サミー,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アレックス ブライト,UNIVERSAL BROS.（ユニバーサルブロス）,2025-07-07,ノーマル,98.8,100.6,,,103.5,106.8,1/309.1,1/303.4,,,1/295.2,1/287.4,1/428.3,1/409.6,,,1/366.1,1/312.1,"ボーナストリガー搭載ノーマルタイプ(設定1,2,5,6の4段階)、BIG約350枚・REG約103枚、設定1機械割98.8%(完全攻略時は設定1でも100%超)、羽・3枚役・チェリーA②/Bの出現率に設定差、ボーナス合算は設定1=1/179.6/設定2=1/174.3/設定5=1/163.4/設定6=1/149.6",https://1geki.jp/slot/lb_arexbright/,selected,0.9,アレックス ブライト,1,title_contains,アレックス ブライト,ユニバーサルブロス,メダル,ノーマル,0,,,,,,,,,,,,,1/179.6,1/174.3,,,1/163.4,1/149.6,,,,,,,,,,,,,,
ウルトラミラクルジャグラー,北電子,2024-12-02,ノーマル,97.0,98.0,99.5,101.5,103.6,106.1,1/266.4,1/262.1,1/256.0,1/252.1,1/244.5,1/237.4,1/364.1,1/352.3,1/327.7,1/292.6,1/268.6,1/252.1,天井:非搭載,https://1geki.jp/slot/s_ulmira_juggler/,selected,0.9,ウルトラミラクルジャグラー,1,title_contains,ウルトラミラクルジャグラー,北電子,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガメラ2,サミー,2024-03-04,AT,97.4,98.5,100.6,104.5,106.2,108.5,,,,,,,,,,,,,完全攻略で102%超 天井:999G,https://1geki.jp/slot/s_gamera2xr/,selected,0.9,ガメラ2,1,title_contains,ガメラ2,サミー,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガールズ&パンツァー 最終章,HEIWA（平和）,2024-02-05,スマスロ / AT,98.1,98.8,100.7,105.8,107.9,112.1,,,,,,,,,,,,,AT初当り:1/403.4〜1/303.0 天井:1111G+α,https://1geki.jp/slot/l_girlpan_finale/,selected,0.85,ガールズ&パンツァー 最終章,1,title_contains,ガールズ&パンツァー 最終章,平和,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キングハナハナ-30,パイオニア,2023-03-20,ノーマル,96.0,98.0,101.0,104.0,107.0,110.0,1/292,1/277,1/263,1/249,1/237,1/227,1/481,1/442,1/409,1/378,1/352,1/330,天井:非搭載,https://1geki.jp/slot/s_greatkinghana/,selected,0.9,キングハナハナ-30,1,title_contains,キングハナハナ-30,パイオニア,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キン肉マン～7人の悪魔超人編～,SEVEN LEAGUE（セブンリーグ）,2023-08-07,スマスロ / AT,97.9,99.1,,106.0,110.6,114.9,,,,,,,,,,,,,AT初当り:1/404〜1/336 天井:1000万パワー,https://1geki.jp/slot/l_niku7devil/,selected,0.85,キン肉マン～7人の悪魔超人編～,1,title_contains,キン肉マン～7人の悪魔超人編～,セブンリーグ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ギャグダー,京楽,2022-01-24,AT,97.3,98.5,100.2,104.3,106.0,108.1,,,,,,,,,,,,,ボーナス合算:1/250〜1/195 天井:999G,https://1geki.jp/slot/s_gyaguda/,selected,0.9,ギャグダー,1,title_contains,ギャグダー,京楽,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ギルティクラウン2,ACROSS（アクロス）,2025-06-02,スマスロ / A+AT,97.9,98.9,101.4,105.4,110.0,113.6,,,,,,,,,,,,,AT初当り:1/386〜1/280 天井:899G+α,https://1geki.jp/slot/l_guiltycrown2/,selected,0.9,ギルティクラウン2,1,title_contains,スマスロ ギルティクラウン2,アクロス,スマスロ,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
クランキークレスト,MIZUHO（ミズホ）,2023-12-04,ノーマル,100.5,102.0,,,105.2,108.0,1/275.4,1/275.4,,,1/262.1,1/254.0,1/407.1,1/370.3,,,1/336.1,1/304.8,"設定1,2,5,6の4段階 天井:非搭載、ボーナス合算は設定1=1/164.3/設定2=1/157.9/設定5=1/147.3/設定6=1/138.6",https://1geki.jp/slot/s_crankycrest/,selected,0.9,クランキークレスト,1,title_contains,クランキークレスト,ミズホ,メダル,ノーマル,0,,,,,,,,,,,,,1/164.3,1/157.9,,,1/147.3,1/138.6,,,,,,,,,,,,,,
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,Daito（大都技研）,2025-09-08,スマスロ / ノーマル / BT,98.1,99.2,101.2,103.7,106.6,112.3,1/299.3,1/293.9,1/284.9,1/274.2,1/262.1,1/240.1,1/383.3,1/376.6,1/358.1,1/334.4,1/299.3,1/247.3,設定6:完全攻略時機械割114.0%、BIG確率1/240.1・REG確率1/247.3・ボーナス合算1/121.8、BIG当選で必ずBT発動・約356枚獲得、ボーナス合算は設定1=1/168.0/設定2=1/165.1/設定3=1/158.7/設定4=1/150.7/設定5=1/139.7/設定6=1/121.8,https://1geki.jp/slot/l_crea/,selected,1.0,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,1,manual_exact_variant,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,大都技研,スマスロ,ノーマル,1,,,,,,,,,,,,,1/168.0,1/165.1,1/158.7,1/150.7,1/139.7,1/121.8,,,,,,,,,,,,,,
グランベルム,北電子,2023-09-04,AT,97.6,98.6,100.7,105.5,108.1,110.9,,,,,,,,,,,,,AT初当り:1/485〜1/320 天井:649G+α,https://1geki.jp/slot/s_granbelm/,selected,0.9,グランベルム,1,title_contains,グランベルム,北電子,メダル,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ケロット4,セブンリーグ,2020-03-02,ノーマル,97.6,99.4,101.2,104.1,106.1,108.5,1/273.1,1/268.6,1/264.3,1/256.0,1/248.2,1/240.9,1/356.2,1/341.3,1/327.7,1/306.2,1/292.6,1/273.1,天井:非搭載,https://1geki.jp/slot/s_kelot4/,selected,0.9,ケロット4,1,title_contains,ケロット4,セブンリーグ,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゲゲゲの鬼太郎 覚醒,JFJ（ジェイエフジェイ）,2024-08-05,スマスロ / AT,97.9,98.9,100.3,105.6,110.8,114.9,,,,,,,,,,,,,AT初当り:1/421.1〜1/349.8 天井:1200G+α,https://1geki.jp/slot/l_kitaro_kakusei/,selected,0.85,ゲゲゲの鬼太郎 覚醒,1,title_contains,ゲゲゲの鬼太郎 覚醒,ジェイエフジェイ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コードギアス 反逆のルルーシュ/復活のルルーシュ,Sammy（サミー）,2024-02-05,スマスロ / AT,97.9,98.8,101.5,106.0,109.9,113.4,,,,,,,,,,,,,AT初当り:1/409〜1/296 天井:1000G、ボーナス合算は設定1=1/282.9/設定2=1/278.1/設定3=1/260.6/設定4=1/244.1/設定5=1/229.2/設定6=1/217.5,https://1geki.jp/slot/l_codegeass/,selected,1.0,コードギアス 反逆のルルーシュ/復活のルルーシュ,1,manual_exact_variant,コードギアス 反逆のルルーシュ/復活のルルーシュ,サミー,スマスロ,AT,0,1/282.9,1/278.1,1/260.6,1/244.1,1/229.2,1/217.5,,,,,,,1/282.9,1/278.1,1/260.6,1/244.1,1/229.2,1/217.5,,,,,,,,,,,,,,
コードギアス反逆のルルーシュ3,サミー,2021-08-02,A+AT,97.8,98.8,100.6,105.1,108.4,112.1,1/258.0,1/256.0,1/252.1,1/242.7,1/237.4,1/234.1,,,,,,,BB/RB合算確率 天井:500G,https://1geki.jp/slot/s_codegeass3/,selected,0.85,コードギアス反逆のルルーシュ3,1,title_contains,コードギアス反逆のルルーシュ3,サミー,メダル,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コードギアス反逆のルルーシュ3 C.C.&Kallen ver.,サミー,2023-06-05,A+AT,98.2,99.1,101.1,105.5,108.3,113.1,1/282.5,1/277.7,1/270.8,1/254.0,1/244.5,1/237.4,1/409.6,1/390.1,1/364.1,1/324.4,1/303.4,1/282.5,完全攻略時設定1で100%超,https://1geki.jp/slot/s_codegeass3cc/,selected,0.85,パチスロコードギアス 反逆のルルーシュ3 C.C.＆Kallen ver.,1,title_contains,コードギアス反逆のルルーシュ3 C.C.&Kallen ver.,サミー,メダル,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴジラ,newgin（ニューギン）,2025-04-07,スマスロ / AT,97.8,98.8,100.6,105.8,110.5,114.9,,,,,,,,,,,,,機械割設定4=105.8%・設定6=114.9%、AT初当り確率の設定差がCZ確率より大きい、BAR揃い確率約1/28.5(高確中約1/29.4)でG数上乗せ抽選、敵キャラ選択率が高設定ほど勝利期待度の高い相手に偏る,https://1geki.jp/slot/l_godzilla/,selected,0.9,ゴジラ,1,title_contains,ゴジラ,ニューギン,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴジラ対エヴァンゲリオン,Bisty（ビスティ）,2024-02-05,スマスロ / AT,97.7,99.2,,104.6,110.7,114.9,,,,,,,,,,,,,AT初当り:1/299〜1/256 天井:1000G,https://1geki.jp/slot/l_gojieva/,selected,0.85,ゴジラ対エヴァンゲリオン,1,title_contains,ゴジラ対エヴァンゲリオン,ビスティ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴッドイーター リザレクション,SEVEN LEAGUE（セブンリーグ）,2024-07-22,スマスロ / AT,97.9,98.9,101.1,105.6,110.0,114.9,,,,,,,,,,,,,AT確率:1/351〜1/280 天井:1000G,https://1geki.jp/slot/l_godeater_r/,selected,0.85,ゴッドイーター リザレクション,1,title_contains,ゴッドイーター リザレクション,セブンリーグ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴブリンスレイヤー,Orange(オレンジ),2023-04-17,スマスロ / AT,97.8,98.9,101.2,105.4,110.0,114.9,,,,,,,,,,,,,AT初当り:1/548〜1/435 天井:1500G,https://1geki.jp/slot/s_l_goblinslayer/,selected,0.9,ゴブリンスレイヤー,2,title_contains,ゴブリンスレイヤー,オレンジ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴブリンスレイヤーII,JFJ（ジェイエフジェイ）,2026-02-02,スマスロ / AT,97.6,98.7,100.4,104.9,109.7,113.2,,,,,,,,,,,,,設定6機械割113.2%、AT初当り1/541.6(設定1)〜1/402.4(設定6)、CZ確率1/239.3(設定1)〜1/181.9(設定6)、天井最大1500G(600G/1000G振り分けあり)、AT「ゴブリンスレイヤーRUSH」1セット100G・純増2.8枚、上位AT「ULTIMATE LOOP」純増6.0枚,https://1geki.jp/slot/l_goblinslayer2/,selected,0.85,ゴブリンスレイヤーII,1,title_contains,ゴブリンスレイヤーII,ジェイエフジェイ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴーゴージャグラー3,北電子,2023-07-03,ノーマル,97.2,98.2,99.4,101.6,103.8,106.5,1/259.0,1/258.0,1/257.0,1/254.0,1/247.3,1/234.9,1/354.2,1/332.7,1/306.2,1/268.6,1/247.3,1/234.9,天井:非搭載,https://1geki.jp/slot/s_gogojuggler3/,selected,0.9,ゴーゴージャグラー3,1,title_contains,ゴーゴージャグラー3,北電子,メダル,ノーマル,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
