machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes
スマスロ ハナビ,アクロス,2026-02-02,スマスロ,,,,,,108.0,,,,,,,,,,,,,設定6完全攻略時機械割108.0%、ボーナス合算確率1/169.8(設定1)〜1/138.8(設定6)、BIG最大239枚・REG最大96枚、BIG後は必ず花火チャレンジ移行
スマスロ バイオハザード5,Enterrise（エンターライズ）,2025-03-03,スマスロ,97.8,98.8,100.6,104.6,108.9,114.9,,,,,,,,,,,,,AT(ハザードラッシュ/プレミアムハザードラッシュ)機、AT初当り確率は設定1=1/325.8/設定2=1/314.4/設定3=1/298.2/設定4=1/271.4/設定5=1/249.6/設定6=1/236.2、機械割は設定1=97.8%/設定2=98.8%/設定3=100.6%/設定4=104.6%/設定5=108.9%/設定6=114.9%、AT純増約2.5枚(ハザードラッシュ)or4.0枚(プレミアム)/G、天井999G+α、ベース約33.0G
スマスロキングパルサー,山佐,2024-03-04,スマスロ,97.7,98.7,100.5,105.7,109.1,114.9,,,,,,,,,,,,,疑似ボーナスAT 天井:960G
スマスロニューパルサーBT,山佐,2025-06-02,スマスロ,98.7,100.1,,,103.0,106.8,,,,,,,,,,,,,スマスロ/ボーナストリガー機、4段階設定、機械割は設定1=98.7%(完全攻略100.0%)/設定2=100.1%(101.5%)/設定5=103.0%(104.5%)/設定6=106.8%(108.3%)、ボーナス合算確率は設定1=1/183.1〜設定6=1/156.0、全設定BB:RB当選比率1:1(初当り時)、BB獲得枚数309枚以上(平均359枚、BT連荘含む)、RB獲得枚数最大107枚、天井非搭載
スマスロ北斗の拳,サミー,2023-04-03,スマスロ,97.9,98.9,100.5,105.8,110.0,113.0,,,,,,,,,,,,,AT初当り:1/382.7〜1/235.4 天井:1268G
スマスロ炎炎ノ消防隊,SANKYO,2024-05-07,スマスロ,97.3,98.5,100.5,105.1,108.3,114.9,,,,,,,,,,,,,初当り:1/282〜1/227 天井:850G
スマスロ炎炎ノ消防隊2,SANKYO,2026-02-02,スマスロ,,,,,,114.9,,,,,,,,,,,,,設定6:ボーナス初当り1/227・炎炎ループ確率1/486(設定1比約1.2/1.4倍)、ボーナス間天井850G+α(リセット後650G+α)、炎炎ループ間天井2000G+α(リセット後1500G+α)
スマスロ真・北斗無双,サミー,2024-07-08,スマスロ,97.9,98.9,101.8,106.6,110.5,114.9,,,,,,,,,,,,,AT初当り:1/381.1〜1/320.5 天井:1536宿命+α
スマスロ秘宝伝,大都技研,2025-12-22,スマスロ,,,,,,114.7,,,,,,,,,,,,,設定6機械割114.7%(AT純増約5.0枚/G)、高確率初当り設定1=1/181.7、奇偶で偶数設定優遇、通常時799G+α天井(REG後649G+α、設定変更時499G+α)
スマート沖スロ スターハナハナ,パイオニア,2025-01-20,スマスロ,,,,,,110.0,,,,,,,,,,,,,設定6機械割110.0%、ボーナス合算確率1/159〜1/114(シリーズ最当たりやすさ)、BIG最大240枚・REG最大96枚のノーマルタイプ、REG確率に大きな設定差(設定6終日で1/265以下傾向)
スマート沖スロ ドラゴンハナハナ～閃光～,パイオニア,2024-03-18,スマスロ,96.0,98.0,101.0,104.0,107.0,110.0,1/256,1/246,1/236,1/224,1/212,1/199,1/642,1/585,1/537,1/489,1/442,1/399,天井:非搭載(ノーマルタイプ)
スマート沖スロ ニューキングハナハナV,パイオニア,2026-01-05,スマスロ,,,,,,110.2,,,,,,,,,,,,,設定6機械割108〜110.2%(資料により幅)、設定6ボーナス合算1/150(BIG1/226.0・REG1/278.9)、BIGボーナストリガー含み約312枚・REG約130枚、6号機ハナハナ史上最高のボーナス獲得枚数
スロドル,コナミアミューズメント,2023-03-20,AT,97.8,98.7,100.6,105.2,107.3,110.2,,,,,,,,,,,,,AT確率:1/356〜1/241 天井:999G
スーパービンゴネオ,ベルコ,,AT,,,,,,,,,,,,,,,,,,,5号機データ割愛
スーパービンゴネオクラシック,ベルコ,2023-08-07,AT,97.6,98.6,100.6,103.1,105.1,106.0,,,,,,,,,,,,,AT確率:1/334〜1/276 天井:999G
スーパーブラックジャック,SEVEN LEAGUE（セブンリーグ）,2025-02-03,AT,97.8,98.7,100.1,105.7,110.0,112.7,,,,,,,,,,,,,ATタイプ/スマスロ/天井/萌えスロ、AT純増約0.4枚or約5.1枚/G、機械割は設定1=97.8%/設定2=98.7%/設定3=100.1%/設定4=105.7%/設定5=110.0%/設定6=112.7%、ボーナス初当り確率は設定1=1/241.7/設定2=1/238.8/設定3=1/235.9/設定4=1/201.8/設定5=1/194.9/設定6=1/181.3、リオチャンス高確率は設定1=1/417.6〜設定6=1/312.1、「リオチャンス」「ボーナス」「ストックタイム[ST]」がループし上位「スーパーストックタイム[SST]」へ、ジョーカーモード搭載
スーパーリオエース,山佐,2022-09-05,AT,97.9,98.8,100.5,104.4,107.2,109.8,,,,,,,,,,,,,AT確率:1/600〜1/427 天井:700G+α
スーパーリオエース2,山佐,2026-05-11,スマスロ,97.7,,,,,112.1,,,,,,,,,,,,,機械割97.7%(設定1)〜112.1%(設定6)、初当り確率1/289.8(設定1)〜1/219.2(設定6)、ボーナス直撃確率(ノワールルーム非経由)に非常に大きな設定差、ノワールルーム(平均約16G)成功期待度約40%
スーパー海物語 IN JAPAN祭,三洋,2022-05-09,AT,97.6,98.6,100.4,104.3,107.2,110.1,,,,,,,,,,,,,AT確率:1/355〜1/258 天井:599G
ソードアート・オンライン,大都技研,2023-05-15,スマスロ,97.8,98.8,100.6,105.6,110.0,114.9,,,,,,,,,,,,,AT確率:1/356〜1/245 天井:999G
ゾンビランドサガ,大都技研,2024-07-22,スマスロ,97.8,98.8,100.8,105.3,108.2,111.3,,,,,,,,,,,,,AT確率:1/280〜1/220 天井:999G
タクトオーパス デスティニー,アムテックス,2026-05-11,スマスロ,97.6,,,,,113.5,,,,,,,,,,,,,機械割設定1=97.6%・設定6=113.5%、デスティニーボーナス確率は全設定共通1/770(設定差なし)、AT初当り1/358.5(設定1)〜1/297.4(設定6、約1.2倍差)、AT直撃(CZ→AT昇格)率は設定1=1.4%・設定6=8.9%(約6.4倍差)
ダンジョンに出会いを求めるのは間違っているだろうか2,北電子,2024-04-22,A+ART,98.3,99.6,100.9,104.8,106.8,108.9,1/255.0,1/245.4,1/236.6,1/219.9,1/208.7,1/198.6,,,,,,,ボーナス確率のみ 天井:555G+α
ダンベル何キロ持てる？,SANKYO,2024-02-05,AT,97.5,98.8,100.4,104.9,108.5,114.9,,,,,,,,,,,,,AT初当り:1/350〜1/256 天井:1000G
ダーリン・イン・ザ・フランキス,サミー,2025-08-04,スマスロ,,,,,,114.5,,,,,,,,,,,,,設定6機械割114.5%、設定6ボーナス確率1/192(設定1は1/229)、コネクトチャンス当選率設定6=1/119(設定1=1/127)、ダーリン・イン・ザ・ボーナス終了後ボーナス高確突入
チバリヨ2,ネット,2024-03-04,スマスロ,97.6,99.6,,104.7,109.7,114.9,,,,,,,,,,,,,設定3非搭載 天井:999G+α
チバリヨ2プラス,ネット,2025-01-06,スマスロ,97.6,99.6,,104.7,109.7,114.9,,,,,,,,,,,,,設定3非搭載 天井:999G+α
ディスクアップ ULTRAREMIX,Sammy（サミー）,2025-01-20,A+AT,99.3,100.2,,,103.6,107.7,,,,,,,,,,,,,A+ATタイプ/スマスロ、機械割(完全攻略)は設定1=99.3%(103.0%)/設定2=100.2%(103.8%)/設定5=103.6%(107.2%)/設定6=107.7%(111.5%)(設定3・4未掲載)、BB:RB確率(合算)は設定1=1/287.2:1/495.3(合算1/181.8)、設定2=1/284.3:1/477.2(合算1/178.2)、設定5=1/273.8:1/398.6(合算1/162.3)、設定6=1/260.9:1/334.1(合算1/146.5)、ボーナス当選の約80%がリーチ目、ボーナス純増約6.5枚/G、AT純増約0.5枚or1.5枚/G、天井非搭載、ベース約32.2G(設定1)
ディスクアップ2,サミー,2022-01-24,A+AT,99.4,101.2,,,104.3,108.6,1/287.4,1/284.9,,,1/280.1,1/275.4,1/397.2,1/385.5,,,1/364.1,1/352.3,"設定1,2,5,6 完全攻略時103% 天井なし"
デビル メイ クライ 5,エンターライズ,2022-03-07,AT,97.9,98.8,100.4,104.2,107.6,110.1,,,,,,,,,,,,,AT確率:1/363〜1/283 天井:800G
デビル メイ クライ5 スタイリッシュトライブ,エンターライズ,2025-06-02,スマスロ,97.5,98.2,100.2,105.2,109.2,114.9,,,,,,,,,,,,,ST初当り(設定6)1/303.9、ボーナス初当り(設定6)1/204.1、天井1000G+α(条件により800G+α)、上位STは平均400枚ボーナスが約89%でループ
ドッチ,北電子,2026-04-20,スマスロ,,,,,,108.2,,,,,,,,,,,,,北電子「Simple Smart AT(SSAT)」第2弾、純増5.5枚ボーナス+ループ率約82%のST搭載、ボーナス合算1/169.4(設定1)〜1/131.9(設定6)、設定3で機械割100%超・設定6で約108.2%、チェリー・スイカ確率が高設定ほど軽くなり階段状の設定差(特にチェリーが主要判別要素)
ドリフターズ,サミー,2022-02-07,AT,97.8,98.7,100.5,104.4,107.2,110.1,,,,,,,,,,,,,AT確率:1/552〜1/361 天井:800G
ドンちゃん2,アクロス,2019-03-18,ノーマル,98.9,101.4,,,105.4,108.8,1/273.1,1/264.3,,,1/244.5,1/234.1,1/385.5,1/364.1,,,1/324.4,1/297.9,"設定1,2,5,6 天井なし"
ナイツ,山佐,2023-07-03,AT(擬似ノーマル),97.8,98.7,100.5,104.2,106.6,108.5,1/264.3,1/254.0,1/237.4,1/214.9,1/196.2,1/182.0,,,,,,,BB確率表記 (擬似ボーナス)
ニューキングハナハナV‐30,ピーアーク,2026-01-05,AT,,,,,,110.2,,,,,,,,,,,,,設定6機械割110.2%、設定6でBIG1/226.0・REG1/278.9(合算1/186〜1/150)、REG確率の設定差最大約1.73倍、ボーナス中スイカ出現率に設定差、ボーナス終了後ハイビスカスランプ色が設定示唆
ニューゲッターマウス,アクロス,2022-07-04,ノーマル,97.7,99.4,,,105.1,108.4,1/282.5,1/273.1,,,1/256.0,1/240.9,1/282.5,1/273.1,,,1/256.0,1/240.9,"設定1,2,5,6 天井なし"
ニューパルサーBT,山佐,2025-06-02,スマスロ,98.7,100.1,,,103.0,106.8,,,,,,,,,,,,,スマスロ/ボーナストリガー機、4段階設定、機械割は設定1=98.7%(完全攻略100.0%)/設定2=100.1%(101.5%)/設定5=103.0%(104.5%)/設定6=106.8%(108.3%)、ボーナス合算確率は設定1=1/183.1〜設定6=1/156.0、全設定BB:RB当選比率1:1(初当り時)、BB獲得枚数309枚以上(平均359枚、BT連荘含む)、RB獲得枚数最大107枚、天井非搭載
ニューパルサーDX3,山佐,2021-10-04,ノーマル,97.4,98.6,99.8,102.2,104.1,106.8,1/273.1,1/268.6,1/260.1,1/248.2,1/240.9,1/234.1,1/385.5,1/372.4,1/344.9,1/315.1,1/287.4,1/264.3,天井:非搭載
ニューパルサーSP4 with 太鼓の達人,山佐,2024-05-07,ノーマル,97.4,98.6,100.2,103.8,106.1,108.3,1/273.1,1/268.6,1/258.0,1/248.2,1/240.9,1/234.1,1/385.5,1/372.4,1/334.4,1/303.4,1/287.4,1/264.3,天井:非搭載
ニューパルサーSPⅢ,山佐,2021-04-05,ノーマル,97.4,98.6,100.1,102.7,105.0,108.1,1/273.1,1/268.6,1/260.1,1/248.2,1/240.9,1/234.1,1/385.5,1/372.4,1/344.9,1/315.1,1/287.4,1/264.3,天井:非搭載
ネオアイムジャグラーEX,北電子,2025-09-01,ノーマル,97.0,98.0,99.5,101.1,103.3,105.5,1/273.1,1/269.7,1/269.7,1/259.0,1/259.0,1/255.0,1/439.8,1/399.6,1/331.0,1/315.1,1/255.0,1/255.0,天井:非搭載
ネオプラネット,セブンリーグ,2025-11-17,AT,97.7,99.0,,104.2,107.9,114.2,,,,,,,,,,,,,スマスロ版:AT(擬似ボーナス)機、5段階設定(設定3非搭載)、機械割は設定1=97.7%/設定2=99.0%/設定4=104.2%/設定5=107.9%/設定6=114.2%、BB(SBB含む):RB確率(合算)は設定1=1/280.4:1/596.7(合算1/190.8)、設定2=1/273.4:1/584.1(合算1/186.2)、設定4=1/247.3:1/553.6(合算1/171.0)、設定5=1/232.2:1/526.4(合算1/161.1)、設定6=1/210.5:1/504.2(合算1/148.5)、ボーナス3種(スーパーBIG平均616枚・BIG平均367枚・REG平均95枚)、通常時モード全6種(モードD/Eはボーナス高確)
ハイパーラッシュ,セブンリーグ,2024-09-17,AT(擬似ノーマル),97.8,98.9,101.1,104.5,106.8,109.1,1/251.1,1/246.4,1/237.4,1/224.4,1/214.2,1/204.8,1/378.8,1/364.1,1/341.3,1/315.1,1/297.9,1/273.1,完全攻略時100%超 天井なし
ハイビリターン‐30,ピーアーク,2025-07-07,AT,98.1,,,,,108.0,,,,,,,,,,,,,機械割設定1=98.1%・設定2=99.5%・設定4=102.4%・設定5=105.4%・設定6=108.0%、初当り確率1/296.7(設定1)〜1/240.8(設定6)、共通ベル(左1st15枚ベル)確率が主な設定判別ポイント、ボーナス終了時フェザーランプ色で設定示唆、天国移行までモード転落なし
ハッピージャグラーVIII,北電子,2022-10-24,ノーマル,97.0,98.1,99.9,102.9,105.8,108.4,1/273.1,1/270.8,1/263.2,1/254.0,1/239.2,1/226.0,1/397.2,1/362.1,1/332.7,1/300.6,1/273.1,1/256.0,天井:非搭載
ハードボイルド,サミー,2022-10-03,A+AT,97.9,98.9,100.6,104.3,106.1,108.1,1/278,1/273,1/268,1/264,1/260,1/255,,,,,,,BB確率 天井:1000G
バイオハザード RE:2,アデリオン,2022-10-03,AT,98.1,99.1,101.2,105.5,108.1,110.1,,,,,,,,,,,,,AT確率:1/343〜1/252 天井:1000G
バイオハザード RE:3,アデリオン,2026-05-11,スマスロ,97.5,,,,,113.1,,,,,,,,,,,,,機械割設定1=97.5%・設定6=113.1%、AT初当り確率1/399.0(設定1)〜1/311.2(設定6)、AT中はボーナス抽選約1/60、CZ「ネメシスバトル」突入率に設定差
バイオハザード5,エンターライズ,,AT,,,,,,,,,,,,,,,,,,,過去機種につき割愛
バイオハザード7 レジデント イービル,アデリオン,2021-02-08,AT,97.9,98.9,100.5,104.6,107.7,110.1,,,,,,,,,,,,,AT初当り:1/424〜1/339 天井:753G
バイオハザード:ヴェンデッタ,サミー,2023-07-24,スマスロ,97.8,98.8,100.6,105.1,108.2,112.5,,,,,,,,,,,,,AT確率:1/395〜1/307 天井:810G
バキ 強くなりたくば喰らえ!!!,オリンピア,2022-11-21,スマスロ,97.5,98.7,100.5,104.4,108.1,110.5,,,,,,,,,,,,,AT確率:1/336〜1/252 天井:600G+α
バジリスク絆2,エレコ,2020-02-17,AT,97.4,98.6,102.0,106.1,110.1,112.9,,,,,,,,,,,,,BT確率:1/525〜1/235 天井:800G
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,ミズホ,2023-12-18,スマスロ,97.4,98.5,102.0,106.2,110.5,114.9,,,,,,,,,,,,,BT確率:1/418〜1/247 天井:BC間333G
バベル,ユニバーサル,,スマスロ,97.4,99.1,101.6,104.8,107.5,110.0,,,,,,,,,,,,,2002年版(4号機)はBIG・REG共に全設定1/240、機械割設定1=95.5%〜設定6=132.9%。スマスロ版(2025年導入)機械割は設定1=97.4%/設定2=99.1%/設定3=101.6%/設定4=104.8%/設定5=107.5%/設定6=110.0%、BB:RB確率(合算)は設定1=1/328.2:1/655.6(合算1/218.7)、設定2=1/316.4:1/613.7(合算1/208.8)、設定3=1/301.6:1/564.3(合算1/196.5)、設定4=1/283.0:1/499.5(合算1/180.6)、設定5=1/267.1:1/456.5(合算1/168.5)、設定6=1/254.0:1/421.3(合算1/158.5)、ボーナス初当り確率は設定1=1/538.3〜設定6=1/467.6、弱・強チェリーからのボーナス当選率が高設定優遇、サソリ成立回数3・6回目当選率に設定差
バンドリ！,オリンピア,2024-08-05,スマスロ,97.8,98.9,101.0,105.5,108.2,113.1,,,,,,,,,,,,,AT確率:1/298〜1/231 天井:10周期
バーサスリヴァイズ,アクロス,2022-01-11,ノーマル,97.8,99.5,,,104.2,107.1,1/264.3,1/260.1,,,1/244.5,1/237.4,1/344.9,1/334.4,,,1/292.6,1/277.7,"設定1,2,5,6 天井なし"
バーニングエクスプレス,KITA DENSHI（北電子）,2025-12-01,スマスロ,98.5,99.9,,103.7,107.7,110.2,,,,,,,,,,,,,機械割は設定1=98.5%、設定2=99.9%、設定4=103.7%、設定5=107.7%、設定6=110.2%(設定3非搭載)、バーニングボーナス(紫7揃い):エクスプレスボーナス(紫7･紫7･白BAR)確率は設定1=1/385.3:1/409.8(合算1/198.6)、設定2=1/380.1:1/403.9(合算1/195.8)、設定4=1/362.2:1/382.2(合算1/186.0)、設定5=1/350.3:1/367.8(合算1/179.4)、設定6=1/342.7:1/359.2(合算1/175.4)、メイン「BURNING BONUS」平均獲得枚数約500枚
パチスロULTRAMAN-KE,OK!!（オッケー）,2025-06-02,スマスロ,97.7,99.0,,104.1,109.7,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(最大998G+α)、AT純増約4.0枚/G、ベース(50枚あたり)約33.6G、機械割は設定1=97.7%/設定2=99.0%/設定4=104.1%/設定5=109.7%/設定6=114.9%(設定3未掲載)、AT初当り確率は設定1=1/320.2/設定2=1/308.7/設定4=1/271.9/設定5=1/247.3/設定6=1/222.8、設定1と設定6で機械割17%以上の差、上位状態「リミッター解除」継続率約93%(Vストック・引き戻し含む)、「ウルトラBONUS」(25G継続、スペシウムゾーン抽選)・「ウルトラタイム」(白7揃いから10G継続STタイプ)
パチスロ新鬼武者,エンターライズ,,AT,96.0,,,,,114.1,,,,,,,,,,,,,5号機版「新鬼武者」(2010年)。機械割設定1=96.0%〜設定6=114.1%(設定2=98.5%・設定3=100.1%・設定4=104.2%・設定5=109.2%)、ボーナス合算1/263.19(設定1)〜1/229.95(設定6、設定6以外は差小)、3連チェリー停止形にのみ設定差あり、ボーナス+ART合算1/173.6(設定1)〜1/117.9(設定6)
ビッグドリーム THE GOLDEN PUSHER,サミー,2026-05-11,スマスロ,97.4,,,,,111.3,,,,,,,,,,,,,機械割設定1=97.4%〜設定6=111.3%、CZ確率1/337.7(設定1)〜1/303.4(設定6)、AT初当り確率1/629.3(設定1)〜1/536.2(設定6)
ピンクパンサーSP,山佐,2022-06-06,A+ART,98.2,99.4,101.4,104.2,105.1,107.3,1/270.8,1/266.4,1/262.1,1/258.0,1/256.0,1/252.1,1/385.5,1/381.0,1/376.6,1/368.2,1/364.1,1/356.2,完全攻略時100%超
ファイヤードリフト,サミー,2023-12-18,AT,97.7,98.8,100.9,105.5,108.3,111.4,,,,,,,,,,,,,ボーナス合算:1/249〜1/188 天井:900G
ファミスタ回胴版!!,ユニバーサル,2023-09-04,A+ART,98.0,99.0,,,104.5,108.3,1/277.7,1/273.1,,,1/260.1,1/252.1,1/381.0,1/368.2,,,1/334.4,1/312.1,"設定1,2,5,6 完全攻略時102%"
ファンキージャグラー2,北電子,2021-10-04,ノーマル,97.0,98.5,99.8,102.0,104.3,109.0,1/266.4,1/259.0,1/256.0,1/249.2,1/240.1,1/219.9,1/439.8,1/407.1,1/366.1,1/322.8,1/299.3,1/262.1,天井:非搭載
ファンタシースターオンライン2,サミー,2020-02-25,AT,97.8,98.8,100.2,104.0,106.6,110.0,,,,,,,,,,,,,AT初当り:1/353〜1/258 天井:800G
フレームアームズ・ガール,ネット,2021-02-08,AT,97.6,98.7,100.7,104.5,108.2,112.3,,,,,,,,,,,,,AT初当り:1/280〜1/200 天井:777G
プリズムナナ,Carmina（カルミナ）,2025-12-08,スマスロ,97.7,98.5,100.1,105.5,110.1,114.9,,,,,,,,,,,,,ATタイプ/スマスロ/天井(最大899G+α、最大7周期)、AT初当り確率は設定1=1/351.8/設定2=1/346.9/設定3=1/337.2/設定4=1/306.6/設定5=1/290.1/設定6=1/278.6、機械割は設定1=97.7%/設定2=98.5%/設定3=100.1%/設定4=105.5%/設定5=110.1%/設定6=114.9%、BURNING ZONE(主ST)・LIGHTNING ZONE(上位ST)、プリプリゾーン(平均93ポイント加算)
プレミアムうまい棒,オリンピア,2025-06-02,スマスロ,97.6,,,,,106.5,,,,,,,,,,,,,機械割設定1=97.6%・設定2=98.5%・設定5=103.7%・設定6=106.5%、BIG確率1/299.3(設定1)〜1/291.3(設定6)、REG確率1/471.5(設定1)〜1/291.3(設定6、設定差大)、ボーナス合算1/183.1(設定1)〜1/145.6(設定6)、BIG後は必ずBT移行(97%がリプリプベル約126枚・3%赤7揃いで約476枚)、REGはBT非発動で99枚で終了
ベルセルク無双,EXCITE,2023-06-05,スマスロ,97.6,98.8,100.6,104.2,107.5,110.4,,,,,,,,,,,,,AT初当り:1/383〜1/271 天井:999G
ペルソナ5,サミー,2022-09-05,AT,97.7,98.8,100.6,104.6,107.4,110.2,,,,,,,,,,,,,AT確率:1/399〜1/272 天井:999G
マイジャグラーV,北電子,2021-12-06,ノーマル,97.0,98.0,99.9,102.8,105.3,109.4,1/273.1,1/270.8,1/266.4,1/254.0,1/240.1,1/229.1,1/409.6,1/385.5,1/336.1,1/290.0,1/268.6,1/229.1,天井:非搭載
マギアレコード 魔法少女まどか☆マギカ外伝,ミズホ,2025-04-07,スマスロ,97.6,,,,,114.9,,,,,,,,,,,,,AT初当り:1/654.6〜1/416.7 / ボーナス4種(エピソード/ビッグ/タマミ/アリナトリウム)
マクロスデルタ,SANKYO,2021-04-19,AT,97.5,98.6,100.3,104.2,107.4,109.8,,,,,,,,,,,,,AT確率:1/552〜1/395 天井:777G
マクロスフロンティア4,SANKYO,2024-01-09,スマスロ,97.7,98.8,100.6,105.5,109.0,114.9,,,,,,,,,,,,,AT初当り:1/447〜1/325 天井:1000G
マジカルハロウィン ボーナストリガー,Konami Amusement（コナミアミューズメント）,2025-09-22,スマスロ,97.5,99.3,,,104.2,108.1,,,,,,,,,,,,,スマスロ/ボーナストリガー機、BB:RB確率(合算)は設定1=1/299:1/390(合算1/169)、設定2=1/295:1/347(合算1/159)、設定5=1/273:1/301(合算1/143)、設定6=1/262:1/262(合算1/131、設定6はBB:RB同確率1:1)、BT中はBT BONUS:REGULAR BONUS=1:1(全設定共通)・継続率50%、チェリー成立でBTボーナス示唆、青7BBまたはカボチャBB後はチェリー出現率上昇、カボチャBBは単独成立のみ、機械割の具体数値は未掲載(出率調査中)
マジカルハロウィン8,コナミアミューズメント,2023-12-04,A+ART,97.7,98.7,100.6,105.1,107.2,109.2,1/319.7,1/316.6,1/313.6,1/304.8,1/299.3,1/296.5,1/374.5,1/368.2,1/364.1,1/356.2,1/352.3,1/344.9,天井:777G
マタドールIII,北電子,2025-08-04,スマスロ,,,,,,110.0,,,,,,,,,,,,,設定6機械割110%、REG確率に大きな設定差(BB+REG合算1/140以上が高設定ボーダー目安)、BT中の1枚役(バラケ目)確率は設定1-6で約128倍の差、コンドルランプ色・ボーナス終了時の上下パネル同時フラッシュが設定示唆
マッピー,メーシー,2022-02-21,A+AT,98.2,99.5,,,104.1,106.8,1/248.2,1/244.5,,,1/237.4,1/234.1,1/376.6,1/360.1,,,1/324.4,1/303.4,"設定1,2,5,6 天井なし"
ミスタージャグラー,北電子,2024-07-22,ノーマル,97.0,98.0,99.8,102.7,105.5,107.3,1/268.6,1/267.5,1/260.1,1/249.2,1/240.9,1/237.4,1/374.5,1/354.2,1/331.0,1/291.3,1/257.0,1/237.4,天井:非搭載
ミリオンゴッド‐神々の軌跡‐,ユニバーサル,2026-04-20,スマスロ,97.2,,,,111.7,114.6,,,,,,,,,,,,,2026年4月導入、設定6機械割114.6%・初当り1/295、設定5初当り1/455だが機械割111.7%(偶数優遇傾向)、設定1初当り1/533、AT1セット50G×純増約7.0枚、GOD揃い1/16384
メイドインアビス,ミズホ,2023-06-05,AT,97.6,98.7,100.4,105.4,107.5,110.1,,,,,,,,,,,,,AT初当り:1/283〜1/192 天井:700G
モモキュンソード,ハナヤマ,2023-01-10,AT,97.9,,,,,110.0,,,,,,,,,,,,,機械割97.9%〜110.0%(設定1〜6、SモモキュンソードDX)、AT初当り確率1/381.2(設定1)〜1/228.4(設定6)でボーナス確率より設定差大、「桃剣ボーナス」は通常時高設定優遇・AT中は逆に低設定優遇、スイカ出現率は高設定ほど優遇
モンキーターンV,山佐,2023-12-04,スマスロ,97.9,98.9,100.6,105.4,109.2,114.9,,,,,,,,,,,,,AT初当り:1/299〜1/222 天井:795G+α
モンキーターンⅣ,山佐,2020-05-11,AT,97.8,98.7,100.4,104.2,107.1,110.3,,,,,,,,,,,,,AT初当り:1/269〜1/160 天井:1000G
モンスターハンター:ワールド,エンターライズ,2020-11-16,AT,97.6,98.5,100.3,104.2,107.2,110.1,,,,,,,,,,,,,AT初当り:1/334〜1/214 天井:750G
モンスターハンターライズ,カプコン,2024-11-18,スマスロ,97.5,100.2,103.0,107.8,111.5,115.2,,,,,,,,,,,,,AT初当り:1/330〜1/210 / 天井:CZ間800G+α(設定変更後400G+α) AT間1500G+α
モンスターハンターワールド:アイスボーン,エンターライズ,2023-01-30,AT,97.8,98.8,100.6,105.1,107.5,110.1,,,,,,,,,,,,,AT確率:1/338〜1/242 天井:999G+α
ヨルムンガンド,YAMASA NEXT（山佐ネクスト）,2026-04-06,スマスロ,97.8,98.8,100.9,104.7,109.6,113.9,,,,,,,,,,,,,CZ確率1/194.2(設定1)〜1/167.2(設定6)、AT初当り1/333.8(設定1)〜1/290.1(設定6)、BIG:REG=1:1、中段チェリーでヨルムンガンドボーナス濃厚
ラブ嬢3～Wご指名はいかがですか?～,オリンピア,2023-12-04,スマスロ,97.7,98.8,100.5,105.2,108.3,112.1,,,,,,,,,,,,,AT初当り:1/276〜1/185 天井:750G
リング 恐襲ノ連鎖,藤商事,2020-01-06,AT,97.5,98.6,100.4,104.2,107.0,110.1,,,,,,,,,,,,,AT初当り:1/358〜1/243 天井:896G
リングにかけろ1 V,スパイキー,2023-12-04,スマスロ,97.8,98.8,100.6,105.6,109.3,114.9,,,,,,,,,,,,,AT初当り:1/256〜1/192 天井:999G
ルパン三世 大航海者の秘宝,平和,2024-12-02,スマスロ,,,,,,114.3,,,,,,,,,,,,,設定6:機械割114.3%・AT初当り1/274.9、初当りの約70%がAT直行、AT「スーパーヒーロー」純増約2.7枚/G(上位AT「盗り放題」約4.7枚/G)、天井1000G+α(設定変更後700G+α)
ワンパンマン,山佐,2024-08-05,スマスロ,97.6,,,,,114.9,,,,,,,,,,,,,ボーナス確率1/315.8(設定1)〜1/263.5(設定6)、CZ確率1/158.8(設定1)〜1/145.7(設定6)、機械割97.6%(設定1)〜114.9%(設定6、設定5=110.4%)、ボーナス・AT初当り確率に大きな設定差、AT/ボーナス終了画面ランクで設定示唆(S級=設定6濃厚、A級=設定4以上濃厚、B級=設定2以上濃厚)
ワードオブライツII,ユニバーサル,2024-02-05,AT,97.8,99.3,,,104.1,106.6,1/252,1/248,,,1/237,1/234,,,,,,BB確率(設定1,"2,5,6)"
ヱヴァンゲリヲン ～約束の扉～,ビスティ,2025-07-07,スマスロ,,,,,,110.0,,,,,,,,,,,,,ボーナストリガー機(Aタイプ)、設定6機械割110.0%、AT概念なし・ボーナス確率に設定差、設定6は初当たり軽め・投資安定・確定演出が出やすい
一方通行 とある魔術の禁書目録,Orange(オレンジ),2024-12-16,スマスロ,97.5,,,,,114.9,,,,,,,,,,,,,AT初当り確率1/370.7(設定1)〜1/266.5(設定6)、機械割97.5%〜114.9%、3種CZ確率は高設定優遇(特に「打ち止めCHANCE」に大きな設定差)、AT「一方通行RUSH」は1セット40G・純増約2.5枚
